English Terms,中文术语,中文定义,
Current Maturity,现时年期,现时与债券到期日之间的距离,
Current Price,现时价格,交易所内证券的实时价格,
Current Ratio,流动比率,企业履行短期债务责任能力的指标，计算方法为流动资产除以流动负债,
Current Yield,现时收益率,证券年收益(利息或股息)除以证券显示价格,
Cushion Bond,保收债券,一种息票高于市场利率，因而售价较高的可买回债券,
CUSIP Number,美国证券库斯普号码,辨认所有美国股票及注册债券的编号，CUSIP系统由美国统一证券辨认委员会(Committee on Uniform Securities Identification Procedures (CUSIP))管理,
Custodial Account,保管帐户,在一家银行、证券行或共同基金开设的户口，由一名成人为一名18或21岁（视乎当地法律）以下的儿童管理或者是一名保管人为合资格员工管理的养老金户口。,
Custodian ,保管人,需要对于客户证券负法律责任的金融机构。这包括管理及安全保管,
Cyclical Industry,周期性行业,指对业务周期及价格变动敏感的行业。许多周期性行业生产耐用品，例如原材料及重型设备,
Cyclical Stock,周期性股票,指在经济环境强劲时股价上升迅速，在经济放缓时股价急剧下跌的股票,
Cyclical Unemployment,周期性失业,业务周期转变造成的失业,
DJIA,道琼斯工业平均指数,道琼斯工业平均指数是30种在纽约股票交易所及纳斯达克交易所买卖的重要股票的股价加权平均。道琼斯工业平均指数于1896年由Charles Dow 始创,
DJTA,道琼斯交通平均指数,道琼斯交通平均指数是20种在美国买卖的交通业股票的股价加权平均。道琼斯工业平均指数于1884年始创,
DJUA,道琼斯公用事业平均指数,道琼斯公用事业平均指数是15种在美国买卖的公用事业股票的股价加权平均。道琼斯工业平均指数于1929年始创,
Data Mining,数据探索,一种数据库应用，旨在探索大量数据之中存在的潜在模式,
Days Payable Outstanding (DPO),应付账款天数,公司付款的平均天数，计算方法为：平均应付账款×360天/销售成本,
Days Sales Outstanding (DSO),应收账款天数,公司收款的平均天数，计算方法为：平均应收账款×365天/销售收入,
Debenture ,公司债券,无抵押债务，只依赖借方信用质量作为支持，并无抵押品，协议属于契约形式,
Debit ,借项、借方,增加资产或减低负债的会计入项,
Debt,债务,一名人士或一家公司亏欠其他人士或公司的金钱,
Debt Equity Ratio,债务股本比,衡量公司财务贡杆的指标，计算方法为将公司的长期债务除以股东权益，显示公司建立资产的资金来源中股本与债务的比例,
Debt Equity Swap,债换股交易,一种再融资安排，债权人获得公司的股权，因而注销该公司亏欠的债项,
Debt Financing,债务融资,一家公司通过向个人及/或机构投资者出售债券、票据筹集营运资金或资本开支。个人或机构投资者借出资金，成为公司的债权人，并获得该公司还本付息的承诺,
Debt Ratio,负债比率,财务比率的一种，计算方法为总债务除以总资产,
Debt Restructuring,债务重组,有未偿还债务的企业修改债务协议，以争取更有利条款的行为,
Debt Security,债务证券,证明投资者向发行人借出资金的证券。接受贷款的发行人承诺在特定日期偿还债务，并在期内支付利息,
Debt Service,还本付息,在既定时期内还本付息所需的现金,
Debt Service Coverage Ratio,债务偿付比率,银行贷款人员考虑发出贷款时经常考虑的比率,
Debtor,债务人,欠债的公司或个人,
Debt Overhang,债务积压,国家的债务超越国家未来偿还能力的情况,
Declaration Date,股息宣告日,董事会决定下一次派息的日期及金额,
Deep Discount Bond,高折扣债券,是指一种将发行价格提供大副折让的债券，这种债券的票面利息 (coupon yield)较一般债券低。,
Default Risk,违约风险,一家公司或一名人士未能根据合约偿还债务本金与利息的风险,
Defeasance ,宣告(合约)无效、废止契约,若借方预留足以还本付息的现金或债券，可注销债券或贷款的条款,
Defensive Buy,防御性投资,一项吸引力在于低风险，而不是回报潜力的投资,
Defensive Investment Strategy,防御性投资策略,一种确保本金损失风险最低的投资组合分配及管理策略。防御性投资者将大比重的投资资产投入债券、现金等值资产及波动性低于平均的股票,
Deferred Account,递延帐户,延迟税务负债的帐户，一般属于养老金帐户,
Deferred Annuity,递延年金,延迟支付收入、分期付款或整笔付款，直至投资者选择收取的年金合约,
Deferred Income Tax,递延所得税,一项在会计上已经入账但在税务上仍未入帐的收入引起的负债，这项负债记入资产负债表,
Deferred Interest Bond,递延利息债券,在未来特定日期才支付利息的债务工具,
Deferred Revenue,递延收入,在完成销售前收取按金或其他现金的负债账目,
Defined Benefit Pension Plan,养老金固定收益计划,雇主支持的养老金计划，退休福利根据一条计算每名员工在退休时可获福利准确金额的公式而决定。投资风险及投资组合管理全部由公司负责。但对员工无需支付罚款提取资金的时间及形式有限制,
Defined Contribution Plan,养老金固定缴款计划,一种养老金计划，每年为员工预留若干金额或若干百分比的资金，以支付有关养老福利。但对员工无需支付罚款提取资金的时间及形式有限制,
Deflation ,通货萎缩,货品及服务总体价格水平下跌的百分比，是通货膨胀的相反词,
Deleverage,减债,减低以往用来提高投资潜在回报率的金融工具及借贷资金，是举债的相反,
Delinquent,拖欠债务,指未能按偿付时间表还本付息,
Delisting,摘牌、停止上市,指一家公司的股票被取消在股票交易所的上市地位。摘牌的原因包括违反法规、未能符合股票交易所制定的财务要求,
Delivery,交割、交货,将合约牵涉的商品、证券、现金价值或交割文件送交给合约持有人，并由合约持有人收妥,
Delivery Date,交割日期,是指当选择权的买方要求选择权的卖方履行契约后，买卖双方依约分别支付对方所购买货币的日期。,
Delivery Instrument,交割文件,在交割期货合约时代替实质商品的文件,
Delivery Month,交割月份,合约到期，必须送交相关商品或现金的月份,
Delivery Price,交割价格,在期货合约到期时交割相关商品的价格。此价格由结算行制定,
Delivery Versus Payment,付款交割,指买方需要在交付证券当时支付有关款项。证券的交付及付款必须同时进行,
Demand,需求,消费者对一种货品或服务的需要及对有关货品或服务支付相关费用的意欲,
Demand Deposit,活期存款,可以随时提款的储蓄户口,
Demand Note,即期票据,一项并无固定时期或偿还时间表的贷款。若符合贷款的通知偿还条款，贷方可随时要求偿还,
Demerger,分拆,指出售子公司或部门的企业策略,
Demutualization,公司化、非共同化,共同基金公司将企业结构改变成为其他形式，例如有限责任公司、商业企业等,
Denomination,票面金额,金融工具上列明的价值,
Dependency Ratio,瞻养比率,显示受瞻养人口(0-14岁及65岁以上)相对总人口(15-64岁)的比率。计算方法为(受瞻养人口/15-64岁人口)X 100%,
Dependent,受扶养人士,需要依赖其他人财务支持的人士。需要负担扶养人士的纳税人可以申请税务宽免,
Depository Receipt,存托凭证,银行发行的金融工具，代表一家国外公司的公开上市证券。存托凭证在本地股票交易所进行买卖,
Depository Trust and Clearing Corporation (DTCC),存托及结算机构,存款信托及结算机构于1999年成立，是一家旗下有5家结算公司及1家保管公司的控股公司，使之成为全球处理买卖后程序最大的金融服务公司,
Depository Trust Company (DTC),存托公司,全球最大证券存托人之一，受托保管的证券总值达到10万亿美元以上。存托公司在结算企业及政府证券交易方面的功能与结算行相似,
Depreciated Cost,折余成本、已折旧成本,计算方法为从资产原来成本中扣除折旧额,
Depreciation,折旧、贬值,减低长期有形资产价值的开支账项。由于属于非现金开支，折旧提高自由现金流，同时减低公司的公布盈利,
Depression,经济萧条,长期持续的严重经济衰退情况，特点包括经济生产力低、失业率高及价格下跌,
Deregulation ,放宽管制,政府对个别行业的控制减弱或消失。放宽管制一般旨在引入更大的竞争,
Derivative,衍生工具,价值取决于相关证券表现的证券，例如期权或期货合约等,
Devaluation,贬值,一个国家货币的价值相对商品价值或其他国家货币价值不断减低,
Development Stage,发展阶段,将注意力集中在研究开发的公司。由于集中力度进行研发，这些公司的盈利一般很低，甚至没有盈利,
Diluted Earnings Per Share,摊薄后每股盈利,假设所有可转换证券被行使后的每股盈利,
Dilution,摊薄、减损,每股普通股盈利的减少。发行更多普通股或可转换证券被转换都会造成摊薄或减损,
Dilutive Acquisition,减损盈利的收购项目,会减低公司每股盈利的收购项目,
Discharge in Bankruptcy,已解除债务的破产人,指破产的人士或公司在法律上已经自由，并且清偿所有债务,
Discount,折扣、贴现,对一种证券支付的价格低于证券发行时面值的差额,
Discount Bond,贴现债券、折扣债券,估值低于面值的债券,
Discount Broker,折扣经纪人,收取较低佣金，但不提供投资顾问的股票经纪人,
Discount Note,贴现票据、折扣票据,发行价格相对面值有折扣，到期时价格相等于面值的无抵押企业债务，与零息票债券或短期无息国库券相似，为机构及散户投资者提供便捷的短期投资机会，可灵活选择投资规模及到期日,
Discount Rate,贴现率、折让率,合资格存托机构直接向美国联邦储备银行借贷短期资金的利率或是计算未来现金流现值的利率。,
Discount Window,贴现窗,金融机构以贴现率向联邦储备银行借贷的地点,
Discounted Cash Flow (DCF),贴现现金流,用来评估一个投资机会的吸引力的方法,
Discretionary Account,委托帐户、全权管理帐户,容许经纪人在无需客户同意的情况下买卖证券的帐户,
Discretionary Income,可自由支配收入,个人在应付必要事项后可供消费的收入,
Discretionary Order,全权委托指令,给与经纪人决策权，以最佳的价格为客户买卖证券的指令。部分全权委托指令限制经纪人可自由进行交易的金额,
Diseconomies of Scale,规模不经济,指在一家公司，规模经济不再存在，每增加一个单位生产的成本不再继续减低，边际成本更趋向增加,
Disinflation,反通货膨胀,价格上升的速率放慢。这一般发生在经济衰退时，销售额减低而零售商不能将提高价格,
Disinvestment,投资缩减,指出售或清理公司或政府的资产或子公司；资本开支减少，或一家公司决定不替换已减耗的资本财货。,
Disintermediation,非中介化,在财务上，从如银行及存款放款公司等中介金融机构提取资金，进行直接投资。,
Disposable Income,可支配收入,可用作消费及个人存款的税后收入,
Disposition ,财产转让,通过直接销售或其他方法处置一项资产或证券,
Distressed Sale,廉价急售,由于环境欠佳而急切进行的资产销售,
Distressed Securities,证券减值,在一家公司处于困难的时期，其证券或资产的价值都会大幅下跌,
Distribution,派发、分配,公司向股东支付现金、股票或实物产品,
Distribution in Kind,派发实物,派发股票，而不是现金,
Divergence,偏离,证券价格的趋势与指标的趋势不同,
Diversification,多元化,风险管理技巧，在投资组合中混合范围广泛的投资,
Diversified Common Stock Fund,多元化普通股资金,投资于范围广泛普通股的共同基金。基金的目的在于增长、收入或两者兼顾,
Divestiture,分拆、出售资产,指出售子公司,
Dividend,股息,公司董事会决议向股东分发的现金付款，资金来自公司的利润。股息可以是现金、股票或物业形式。所有股息都必须由董事会宣布分发,
Dividend Discount Model (DDM),股息贴现模型,运用适当的贴现率，计算股票预测股息的现值，从而评估股票的价值。理论是如果股息贴现模型计算出的价值高于股票当时的交易价格，就是说这种股票的价值被市场低估,
Dividend Payout Ratio,股息支付率,向股东分派的股息占公司盈利的百分比,
Dividend Policy,股息政策,公司向股东分派股息金额的政策,
Dividend Reinvestment Plan,股息再投资计划,公司给与股东的选择，股东可以选择将现金股息进行再投资，于派息当日买入公司的股份,
Dividend Yield,股息收益率,来自拥有股份收入的指标，计算方法为每股年度股息除以每股股价,
Double Dipping,双重收费,对于证券行而言，一名经纪人将可收取佣金的产品放入可收取费用的户口，因而可从获得双重收入,
Double Dip Recession,双谷经济衰退,指国内生产总值经过一或两个季度的增长后再度出现负增长。换言之，首次经济衰退后出现一次短暂的复苏，然后再度出现衰退,
Double Taxing,双重征税,导致同一项盈利被征收两次税项的税务法律。公司因盈利被征税，然后股东及投资者又因获分派的收入被征税,
Dow Jones Industrial Average (DJIA),道琼斯工业平均指数,道琼斯工业平均指数是30种在纽约股票交易所及纳斯达克交易所买卖的重要股票的股价加权平均。道琼斯工业平均指数于1896年由Charles Dow 始创,
Dow Jones Transportation Average (DJTA),道琼斯交通平均指数,道琼斯交通平均指数是20种在美国买卖的交通业股票的股价加权平均。道琼斯工业平均指数于1884年始创,
Dow Jones Utility Average (DJUA),道琼斯公用事业平均指数,道琼斯公用事业平均指数是15种在美国买卖的公用事业股票的股价加权平均。道琼斯工业平均指数于1929年始创,
Dow Theory,道氏理论,道氏理论认为若市场其中一个平均指数(工业或交通)上升至高于之前一个高点的水平，而其他指数的升幅较小，即代表总体市场处于上升趋势,
Down Round,估值较低的一次融资,投资者在一轮融资中购买同一家公司股票的价格低于对上一次融资投资者支付的价格,
Down-and-In Option ,股价下跌生效的期权,在相关证券价格下跌至一个特定水平时生效的期权,
Down-and-Out Option,股价下跌失效的期权,在相关证券价格下跌至一个特定水平时失效的期权,
Downgrade,下调评级,一种证券评级的负面变动,
Downside,负面发展的可能性,总体市场或个别股票可能下跌的幅度,
Downside Risk,负面风险,对个别证券在市场环境转坏的情况下价格可能下跌幅度的预测,
Downsize,缩小规模,通过裁减员工及/或部门缩小公司的规模,
Downstream,下游,指石油天然气在生产阶段后直至销售点之间的过程,
Downtick,低价交易,在证券交易所进行，价格低于之前交易的交易,
Downtick Volume,低价交易量,价格低于之前交易的交易量,
Drag Along Rights,带领权,多数股东强迫少数股东加入出售公司交易的权力。带领的多数股东必须给与小数股东与其他卖方相同的价格、条款及条件,
Dragon Bond,龙债券,在亚洲发行但以美元作为票面金额单位的债券,
Dual Listing,两地上市,指一家公司的股票在一个以上股票交易所上市买卖,
Due Diligence,尽职调查,在收购过程中收购者对目标公司的资产和负债情况、经营和财务情况、法律关系以及目标企业所面临的机会与潜在的风险进行的一系列调查。是企业收购兼并程序中最重要的环节之一，也是收购运作过程中重要的风险防范工具。调查过程中通常利用管理、财务、税务方面的专业经验与专家资源，形成独立观点，用以评价并购优劣，作为管理层决策支持。调查不仅限于审查历史的财务状况，更着重于协助并购方合理地预期未来，也发生于风险投资和企业公开上市前期工作中。,
Dummy Director,挂名董事、名义董事,代表一名非董事的意愿进行投票的公司董事会成员,
Dummy Shareholder,名义股东,指股份在其名下持有，但股份其实属于其他人的股东,
Dumping,[廉价]倾销,指不顾价格出售股票,
Du Pont Analysis,杜邦分析,1920年代杜邦公司首先采用的表现衡量标准，一直沿用至今。在这个标准下，资产根据其账面总值，而不是账面净值做评估，以带来更高的投资回报率,
Du Pont Identity,杜邦特性理论,认为股本回报率可分为三个部分：利润率、总资产周转率及财务贡杆,
Duopoly,双头垄断,指两家公司拥有一种产品或服务所有或接近所有市场份额的状况,
Durables,耐用品,消费品的一种，耐用品指无需经常购买的产品。这包括电器用品、家居及办公室装饰、草地及花园设备、消费者电子用品、玩具制造商、小型工具制造商、运动用品、摄影器材及珠宝,
Duration,期限,衡量一种定息证券的价格对利率变动100基点的敏感度。计算是基于所有现金流现值的加权平均,
Dutch Auction,荷兰拍卖,一种拍卖方法，在过程中不断减低价格，直至获得第一个出价，然后以该价格出售拍卖的货品,
EBIT,息税前利润,通俗地说就是不扣除利息也不扣除所得税的利润，也就是在不考虑利息的情况下在交所得税前的利润，也可以称为息前税前利润。息税前利润，顾名思义，是指支付利息和所得税之前的利润。,
EBITD,扣除利息、税项及折旧前盈利,公司财务表现标准，计算方法为：总收入 - 开支（税项、利息及折旧除外）,
EBITDA ,税息折旧及摊销前利润,即未计利息、税项、折旧及摊销前的利润。 EBITDA被私人资本公司广泛使用，用以计算公司经营业绩。EBITDA=净利润+所得税+固定资产折旧+无形资产摊销+长期待摊费用摊销+偿付利息所支付的现金。,
EBITDAR ,扣除利息、税项、折旧、摊销及重组成本前盈利,公司财务表现标准，计算方法为：总收入 - 开支（税项、利息、折旧、摊销及重组成本除外）。,
EPS,每股盈利,分配给已发行普通股的公司盈利部分，计算方法为：每股收益=（本期毛利润- 优先股股利）/期末总股本,
EV,企业价值,评估公司价值的指标。计算方法为总市值 + 债务及优先股 - 现金及现金等值,
EVA,经济增值,Stern Stewart & Co.始创的公司财务表现标准。经济增值分析评估公司在从营运利润中减除资本成本情况下的剩余价值 (根据现金税项作调整),
Earning Assets,盈利资产,公司拥有能赚取盈利的所有资产,
Earnings,盈利,在特定时期内一家公司的净利润。一般来说(但不一定)指税后收入,
Earnings Estimate,盈利预测,研究分析员对公司未来季度或年度盈利的预测,
Earnings Multiplier,盈利倍数,根据当时利率作调整的预测价格-盈利比率,
Earnings Surprises,盈利不符预测,公司在季度或年度报告中公布的盈利高于或低于研究分析员的盈利预测,
Earnings Yield,盈利收益,最近12个月的每股盈利除以每股市场价格,
Earnout,基于财务表现额外对价条款,合约条款，规定如果业务未来达到一定的财务目标，业务的卖方可获得额外的对价。这些目标一般以总营业额或净利润的一个百分比为标准,
Ecommerce,电子商贸,一名人士或一种业务采用互联网作为业务模型的一部分,
Econometrics,计量经济学,将统计理论运用在经济上，目的在于预测未来趋势,
Economic Value Added (EVA),经济增值,Stern Stewart & Co.始创的公司财务表现标准。经济增值分析评估公司在从营运利润中减除资本成本情况下的剩余价值 (根据现金税项作调整),
Economics,经济学,研究人类如何利用有限的资源尝试满足无穷欲望的学说,
Economies of Scale,规模经济,认为生产边际成本随着规模扩大而减低的经济理论,
Economies of Scope,范畴经济,认为生产货品种类越多，平均生产成本越低的经济理论,
Economy,经济体系,一系列相关的经济生产及消费活动,
Effective Duration,有效期限,计算含期权债券期限的方法。有效期限考虑到预测现金流将随着利率变动而波动,
Effective Tax Rate,有效税率,假设税率为固定税率，而不是累进税率，纳税人支付税款的税率。计算方法为已付总税款除以应课税收入,
Effective Yield,有效收益率,假设债券投资者在收取息票后将款项进行再投资的收益率,
Efficiency Ratio,效益比例,用以计算银行效益的比率。不同银行计算效益比率的方法可能不同。,
Elasticity,弹性,一个可变因素对另一个可变因素的敏感度。更具体来说，是指消费者对价格变动的反应。,
Embedded Option,隐含期权,为其他金融工具不可分割部分的期权安排，与此相反的是与相关证券分开买卖的一般(或单纯)期权,
Embedded Value,隐含价值,北美以外常用的估值方法，根据有形账面价值的总和+有效业务价值(现值),
Emerging Market Fund,新兴市场基金,将大部分资金投资于发展中国家金融市场的共同基金，一般为运作历史较短的小型市场,
Employee Contribution Plan,员工供款计划,公司支持的养老计划，员工存款入账户(供款)。供款从员工的薪酬中扣除，部分公司会同时作出供款,
Ending Inventory,期末库存,在一个库存会计时期结束时可供使用或出售的货品、物资或原料的账面价值,
Endowment,捐赠,捐赠给机构、个人或团体，作为收入来源的资产、资金或物业,
Enterprise Multiple,企业倍数,评估公司价值的指标。企业倍数估值包含债务，从潜在收购方的角度评估公司的价值，而其他估值倍数，例如市盈率则没有包含这方面的考虑。计算方法为：,
Enterprise Value,企业价值,评估公司价值的指标。计算方法为总市值 + 债务及优先股 - 现金及现金等值,
Equilibrium,均衡,市场供应与需求平衡，因此价格稳定的状态,
Equity Accounting,权益会计法,一种会计方法，一家企业将其拥有权益的联营公司的利润的一部分记入自身的帐目,
Equity-Linked Note,股票关联票据,回报率取决于一种证券、一组证券或一个股票指数表现的投资工具,
Equity Financing,股票融资,通过向个人或机构投资者出售普通或优先股筹集公司活动的资金。投入资金的股东可获得公司的股权,
Equity Fund,股票资金,投资于范围广泛、多元化股票的共同基金,
Equity Multiplier,股票倍数,总资产除以普通股总股本,
Equity Risk Premium,股票风险溢价,股票市场为弥补市场风险，相对无风险率的额外回报,
Equity Unit Investment Trust,股票单位信托,注册信托，投资者买入由专业资金经理选择及管理的固定股票投资组合的单位,
Escrow Agreement,第三方保管协议,由认可银行发出的证书，保证指定的证券已经存入该银行,
Escrow ,第三方保管契约,由第三方代表持有的金融工具，直至收到书面或口头指示，或完成条件,
Eurobank,欧洲银行,可接受外币存款及借出外币贷款的金融机构,
Eurobond,欧洲债券,票面金额货币并非发行国家当地货币的债券,
Euroclear,欧洲债券结算系统,在欧洲市场交易证券的两家主要结算行之一,
Eurodollar,欧洲美元,存在美国以外或美国银行国外分行的美元存款。由于存在美国以外，欧洲美元可以逃避美国联储局的监管,
European Option,欧洲式期权,可在期限结束时行使的期权,
EV/EBITDA,企业价值/EBITDA(企业倍数),评估公司价值的指标。企业倍数估值包含债务，从潜在收购方的角度评估公司的价值，而其他估值倍数，例如市盈率则没有包含这方面的考虑。计算方法为：,
Even Lot,整批?证券?,期货交易所设定的商品报价基准数量,
Ex-Dividend ,除息、不带息,在股票交易中，已公布股息属于卖方而不是买方,
Ex-Rights,除权、不带新股认股权,股票新买家无权参与近期公布股票销售的时期,
Ex-Warrant,除证、不带认股权证,已公布但未分发认股权证时期的股票交易,
Exceptional Item,特殊项目,根据通用会计制度必须在公司资产负债表列出的开支项。虽然这些开支属于正常业务开支的一部分， 但由于金额庞大及频密度特殊，必须作出披露,
Excess Return,额外回报,高于无风险率或市场标准(例如指数基金)的额外回报,
Exclusion Ratio,除外责任比率,投资回报免税的部分。这属于最初投资的回报，而不属于资本收益,
Exchange,交易所,证券、商品、期权及期货交易的市场,
Exchange Distribution,交易所分销,在证券交易所内进行、包含大额股票的交易，买卖可能包含许多不同的买卖指示，这些买卖指示被集合起来并一同执行买卖,
Exchange Privilege,转移特权,共同基金的股东有机会无需支付额外费用而更换基金,
Exchange Rate,外汇率,一个国家的货币与另一个国家货币在价值上的比率。换言之，一种货币转换成为另一种货币的转换率,
Exchange Traded Fund,交易所指数基金,一种追踪指数表现但可像股票一样买卖的证券。与指数基金相似，交易基金代表反映一个指数的一揽子股票，分别在于交易基金并非共同基金，共同基金每天在交易结束后计算净资产值，但交易基金的价格全天根据买卖情况而不停变动,
Exchangeable Debt,可交换债务,与可转换债券相似，分别在于可交换债券可交换成为发行人以外公司的普通股(一般为发行人的子公司),
Exchangeable Security,可交换证券,可交换成为发行人以外公司普通股的证券,
Exercise,行使、执行,股东行使一家企业或其他金融机构给与特权的行动。这些权力包括认股权证、期权及其他特殊金融工具,
Exit Strategy,退出投资策略,创业基金或业务拥有者尝试退出一项投资的方法,
Expected Return,预期回报率,可能回报的概率分布平均,
Expense Ratio,开支比率,营运共同基金的开支占总资产的百分比，包括管理及顾问费用、公干开支、12b-1费用。开支比率不包括买卖投资组合的经纪费用,
Expiration Date,到期日,期权或期货合约失效的一天,
Export ,出口,对国际贸易而言，指从一个国家输入另一个国家的货品,
Extendable Bond,可延长债券,发行人有权延长年期的债券,
Extension Risk,延长风险,一种证券由于预付减慢而延长年期的风险,
Extraordinary Item,非经常项目,公司财务报表包含的非经常、不常见收益或损失，一般在_莆癖ū砀阶?作详细说明,
Extrinsic Value,外在价值,期权价值与内在价值之间的差额,
FOMC,公开市场委员会,为美国联邦储备体系制定利率及信贷政策的机构,
FTSE ,金融时报股票交易所指数,专门计算指数的公司。虽然并非股票交易所的一部分，但股东包括伦敦股票交易所以及金融时报,
FX,外汇,指外汇市场。经纪行及银行利用相连的电子网络转换大部分国家的货币,
Facility,信贷额度、资金设施,放款机构为企业提供的财务支援，协助解决资金需要,
Fairness Opinion,公平意见,由合资格分析员或顾问出具，就一项合并或收购项目向决策人提供项目主要细节及实质证明的意见书,
Fed ,联储局,美国联邦储备体系的监管机构。监理会的七名成员由总统委任，并须获得参议院的批准,
Federal Funds,联邦基金,商业银行向美国地方联邦储备银行存入的资金，包括高于准备金要求的金额,
Federal Funds Rate,联邦基金利率,一家存托机构利用手上的资金向另一家存托机构借出隔夜贷款的利率,
Federal Open Market Committee (FOMC),公开市场委员会,为美国联邦储备体系制定利率及信贷政策的机构,
Federal Reserve Bank,联邦储备银行,执行联邦储备体系政策的银行，包括控制货币供应及监管会员银行。联邦储备银行共分为12家地区银行，总部设于波士顿、纽约、费城、科尔夫兰、圣露而斯、三藩士、烈治文、阿特兰大、芝加哥、明尼亚波利斯、肯萨斯城、达拉斯,
Federal Reserve Board (FRB),联邦储备委员会,美国联邦储备体系的监管机构。监理会的七名成员由总统委任，并须获得参议院的批准,
Federal Reserve System (the Fed),联邦储备体系,美国的中央银行，负责监管美国的货币及金融系统。联邦储备体系的组成部分包括位于华盛顿的中央政府机构(监理会)以及位于美国主要城市的12家地区联邦储备银行,
Fed Model,联邦储备模型,联邦储备局采用的模型，对长期国库券及股票市场回报的关系做出了假设,
Fiduciary,受托人,一名人士获法律授权为另一名人士持有资产。受托人管理资产以另一名人士的利益，而不是本身的利益为前提,
Final Dividend ,最终股息,公司在年度股东大会公布的该一年最终股息。这个金额是在完成所有财务报表后及董事了解公司的盈利能力及财务状况的情况下计算出来的,
Final Prospectus,公开说明书定稿,列出新发行证券的价格、交割日期及其他对投资者重要的资料的法律文件,
Finance,财务,研究货币、银行、信贷、投资及资产管理的科学,
Financial Accounting,财务会计,公司通过定期对外发表财务报表，向公众通报公司的财务状况及表现,
Financial Accounting Standards Board - (FASB),财务会计标准委员会,制定财务会计及报告标准的指定机构。制定的标准控制财务报告的编制方法，并且获得美国证监会的承认,
Financial Asset,金融资产,价值来自有合约性索偿权的资产，例如股票、债券及银行存款,
Financial Engineering,金融资产重整,通过创新的设计或重整现有的金融工具创造新的、更好的金融产品,
Financial Intermediary,金融中介机构,担任投资者与融资机构中间人的机构，也称为金融机构,
Financial Performance,财务表现,公司在特定时期内通过日常运作产生新资源的能力,
Financial Planner,财务规划,协助客户编制财务计划及协调不同财务活动的投资专业人员,
Financial Supermarket,金融超级市场,向客户提供范围广泛服务的金融公司,
"First In, First Out (FIFO)",先进先出,库存管理及估值方法，要点在于先出售最早买入的产品,
Fiscal Agent,财务代理,承担无关联方财政责任的机构，例如银行或信托公司等,
Fiscal Policy,财政政策,影响宏观经济环境的政府开支政策，通过管理税率、利率、政府开支，控制总体经济,
Fiscal Year,财务年度,公司作为会计年度的任何12个月,
Fixed Annuity,固定年金,保险合约，保险公司在合约有效期内向受保人支付固定金额，一般直到受保人过世。盈利与本金都受到保险公司的保证,
Fixed Asset,固定资产,一家企业拥有，用来赚取收入但预期不会消耗或转换成为现金的有形财产,
Fixed-Charge Coverage Ratio,固定费用偿付比率,扣除利息及税项前盈利+固定费用(税前)除以固定费用+利率，这个比率可用作评估公司应付固定融资开支，例如利息及租赁开支的能力,
Fixed Cost,固定成本,不论公司活动出现任何变化仍然维持固定的成本,
Fixed Income Security,固定收入证券,提供定期定额收益，并会在到期时获偿付本金的投资,
Fixed Interest Rate (mortgage),固定利率(抵押),在贷款有效期内利率保持固定的贷款或抵押,
Flight to Quality,安全投资转移,投资者将资金转移到最安全的投资项目，一般出现在金融市场存在不明朗因素的情况下,
Flipper,迅速换手投资者,在首次公开上市前买入股票，然后迅速在公开市场抛售，以快速获利的短线投资者,
Float,公开流通股票,由公众股东持有，在公开市场流通的股票总数。计算方法为已发行股票总数 - 有限制股票,
Floater ,无记名票据,息票率随着市场环境变动的债券或其他形式的债务,
Floating Rate Note (FRN),浮息票据,利率可以变动的票据。利率一般与一种货币市场指标挂钩，每6个月调整一次,
Floor,最低额,交易方双方接受的最低限额,
Floor Trader,出市代表、场内交易商,在交易所场内专为自身客户执行交易的交易所成员,
Flotation,发行、上市,私有公司通过发行股票，并邀请公众购买股票而成为公开公司的过程,
Flotation Cost,发行成本,发行新证券牵涉的成本,
Follow-on Offering,后续发行,一家企业在首次公开上市后发行更多股票,
Forbearance ,暂缓行使(债权人权利),贷方或债权人暂缓债务人偿还贷款的责任，目的在于容许债务人偿还过期款项,
Force Majeure,不可抗力,是指不能预见、不能避免并不能克服的客观情况。不可抗力的来源既有自然现象，如地震、台风，也包括社会现象，如军事行动。作为人力所不可抗拒的强制力，具有客观上的偶然性和不可避免性，主观上的不可预见性以及社会危害性。,
Forced Conversion,强制转换,指可转换证券的发行人行使买回权，强制投资者将证券转换成为预定数目的证券,
Forecasting ,预测,分析历史及当时数据，以估计未来趋势的程序,
Foreign Bond,国外债券,国外公司在本地市场发行的本地货币债券,
Foreign Currency Effects,外币效应,外币变动影响国外投资的幅度,
Foreign Direct Investment (FDI),外国直接投资,一国的企业投资于其他国家的企业,
Forex,外汇,指外汇市场。经纪行及银行利用相连的电子网络转换大部分国家的货币,
Fortune 500,财富500,美国每年500家最大企业的名单，名单根据最近期收入数据编制,
Forward Contract,远期合约,一种现金市场交易，将交付商品的日期延迟到签订合约后。虽然商品在未来交付，但价格在最初交易日决定,
Forward Integration,前向整合,纵向整合的一种，公司扩展业务，使之包含生产及直接分销生产的产品,
Forward Looking Earnings,预见性盈利,分析员在计算市盈率时采用的盈利预测，而不是当期盈利(较为常用),
Forward Market,远期市场,指远期合约的场外交易,
Forward Price,远期价格,令远期合约对交易双方都无价值的预定价格,
Forward Rate,远期利率,一种货币、商品或其他资产在未来特定时间交付所牵涉的成本,
Forward Rate Agreement (FRA),远期利率协议,一种远期合约，列明在未来特定生效日开始支付或收取的利率,
